献立日,曜日,中学校献立名,中学校食品名,中学校食品群,エネルギー,たんぱく質
"2021/4/20","火","菜の花のクリームスパゲティ","脱脂粉乳",2,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","バター",6,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","上新粉",5,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","牛乳",2,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","水",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","生クリーム",2,"",""
"2021/4/21","水","ごはん","ごはん",5,"747","24.6"
"2021/4/21","水","牛乳","牛乳",2,"",""
"2021/4/21","水","さんまのしょうが煮","さんまのしょうが煮",1,"",""
"2021/4/21","水","ひじきと大豆の煮物","ひじき",2,"",""
"2021/4/21","水","ひじきと大豆の煮物","大豆",1,"",""
"2021/4/21","水","ひじきと大豆の煮物","にんじん",3,"",""
"2021/4/21","水","ひじきと大豆の煮物","だしの素",,"",""
"2021/4/21","水","ひじきと大豆の煮物","こいくちしょうゆ",,"",""
"2021/4/21","水","ひじきと大豆の煮物","三温糖",5,"",""
"2021/4/21","水","ひじきと大豆の煮物","みりん",,"",""
"2021/4/21","水","ひじきと大豆の煮物","水",,"",""
"2021/4/21","水","みそ汁","たまねぎ",4,"",""
"2021/4/21","水","みそ汁","しめじ",4,"",""
"2021/4/21","水","みそ汁","焼きふ",5,"",""
"2021/4/21","水","みそ汁","わかめ",2,"",""
"2021/4/21","水","みそ汁","ねぎ",3,"",""
"2021/4/21","水","みそ汁","みそ",1,"",""
"2021/4/21","水","みそ汁","水（ミキサー用）",,"",""
"2021/4/21","水","みそ汁","だしの素",,"",""
"2021/4/21","水","みそ汁","水",,"",""
"2021/4/21","水","野菜と雑穀のふりかけ","野菜と雑穀のふりかけ",,"",""
"2021/4/22","木","コッペパン","コッペパン",5,"827","35.4"
"2021/4/22","木","牛乳","牛乳",2,"",""
"2021/4/22","木","いかのハーブ揚げ","いか（切身）",1,"",""
"2021/4/22","木","いかのハーブ揚げ","おろししょうが",,"",""
"2021/4/22","木","いかのハーブ揚げ","こいくちしょうゆ",,"",""
"2021/4/22","木","いかのハーブ揚げ","清酒",,"",""
"2021/4/22","木","いかのハーブ揚げ","ミックスハーブ",,"",""
"2021/4/22","木","いかのハーブ揚げ","でん粉",5,"",""
"2021/4/22","木","いかのハーブ揚げ","こめ油",6,"",""
"2021/4/22","木","ブロッコリーサラダ","ブロッコリー",3,"",""
"2021/4/22","木","ブロッコリーサラダ","ササミ",1,"",""
"2021/4/22","木","ブロッコリーサラダ","イタリアンドレッシング",6,"",""
"2021/4/22","木","ミネストローネ","ベーコン",1,"",""
"2021/4/22","木","ミネストローネ","にんじん",3,"",""
"2021/4/22","木","ミネストローネ","たまねぎ",4,"",""
"2021/4/22","木","ミネストローネ","じゃがいも",5,"",""
"2021/4/22","木","ミネストローネ","ホールトマト",3,"",""
"2021/4/22","木","ミネストローネ","こめ油",6,"",""
"2021/4/22","木","ミネストローネ","コンソメスープ",,"",""
"2021/4/22","木","ミネストローネ","塩",,"",""
"2021/4/22","木","ミネストローネ","こしょう",,"",""
"2021/4/22","木","ミネストローネ","三温糖",5,"",""
"2021/4/22","木","ミネストローネ","水",,"",""
"2021/4/22","木","ヨーグルト","ヨーグルト",2,"",""
"2021/4/23","金","麦入りごはん","ごはん",5,"858","26.4"
"2021/4/23","金","麦入りごはん","麦",5,"",""
"2021/4/23","金","牛乳","牛乳",2,"",""
"2021/4/23","金","ビーフカレー","牛肉",1,"",""
"2021/4/23","金","ビーフカレー","にんじん",3,"",""
"2021/4/23","金","ビーフカレー","たまねぎ",4,"",""
"2021/4/23","金","ビーフカレー","じゃがいも",5,"",""
"2021/4/23","金","ビーフカレー","カレールウ",,"",""
"2021/4/23","金","ビーフカレー","水（ミキサー用）",,"",""
"2021/4/23","金","ビーフカレー","トマトケチャップ",,"",""
"2021/4/23","金","ビーフカレー","リンゴピューレ",4,"",""
"2021/4/23","金","ビーフカレー","ウスターソース",,"",""
"2021/4/23","金","ビーフカレー","コンソメスープ",,"",""
"2021/4/23","金","ビーフカレー","赤ワイン",,"",""
"2021/4/23","金","ビーフカレー","こしょう",,"",""
"2021/4/23","金","ビーフカレー","こめ油",6,"",""
"2021/4/23","金","ビーフカレー","水",,"",""
"2021/4/23","金","海藻サラダ","ツナ（水煮）",1,"",""
"2021/4/23","金","海藻サラダ","わかめ",2,"",""
"2021/4/23","金","海藻サラダ","くきわかめ",2,"",""
"2021/4/23","金","海藻サラダ","きゅうり",4,"",""
"2021/4/23","金","海藻サラダ","和風ドレッシング",6,"",""
"2021/4/23","金","福神漬","福神漬",4,"",""
"2021/4/23","金","お祝いいちごクレープ","いちごクレープ",5,"",""
"2021/4/26","月","ごはん","ごはん",5,"811","24.5"
"2021/4/26","月","牛乳","牛乳",2,"",""
"2021/4/26","月","揚げぎょうざ(３個)","ぎょうざ",1,"",""
"2021/4/26","月","揚げぎょうざ(３個)","こめ油",6,"",""
"2021/4/26","月","中華和え","にんじん",3,"",""
"2021/4/26","月","中華和え","切り干し大根",4,"",""
"2021/4/26","月","中華和え","きゅうり",4,"",""
"2021/4/26","月","中華和え","もやし",4,"",""
"2021/4/26","月","中華和え","こめ油",6,"",""
"2021/4/26","月","中華和え","うすくちしょうゆ",,"",""
"2021/4/26","月","中華和え","三温糖",5,"",""
"2021/4/26","月","中華和え","米酢",,"",""
"2021/4/26","月","中華和え","みりん",,"",""
"2021/4/26","月","スーミータン","卵",1,"",""
"2021/4/26","月","スーミータン","焼き豚",1,"",""
"2021/4/26","月","スーミータン","たまねぎ",4,"",""
"2021/4/26","月","スーミータン","とうふ",1,"",""
"2021/4/26","月","スーミータン","クリームコーン",4,"",""
"2021/4/26","月","スーミータン","えのきたけ",4,"",""
"2021/4/26","月","スーミータン","中華スープ",,"",""
"2021/4/26","月","スーミータン","清酒",,"",""
"2021/4/26","月","スーミータン","うすくちしょうゆ",,"",""
"2021/4/26","月","スーミータン","みりん",,"",""
"2021/4/26","月","スーミータン","塩",,"",""
"2021/4/26","月","スーミータン","こしょう",,"",""
"2021/4/26","月","スーミータン","水",,"",""
"2021/4/27","火","背割りパン","背割りパン",5,"847","31.1"
"2021/4/27","火","牛乳","牛乳",2,"",""
"2021/4/27","火","フランクフルト","フランクフルト",1,"",""
"2021/4/27","火","フランクフルト","トマトケチャップ",,"",""
"2021/4/27","火","フランクフルト","三温糖",5,"",""
"2021/4/27","火","フランクフルト","ウスターソース",,"",""
"2021/4/27","火","フランクフルト","とんかつソース",,"",""
"2021/4/27","火","フランクフルト","でん粉",5,"",""
"2021/4/27","火","フランクフルト","水",,"",""
"2021/4/27","火","キャベツのカレーソテー","キャベツ",4,"",""
"2021/4/27","火","キャベツのカレーソテー","えりんぎ",4,"",""
"2021/4/27","火","キャベツのカレーソテー","コンソメスープ",,"",""
"2021/4/27","火","キャベツのカレーソテー","塩",,"",""
"2021/4/27","火","キャベツのカレーソテー","こしょう",,"",""
"2021/4/27","火","キャベツのカレーソテー","カレーパウダー",,"",""
"2021/4/27","火","キャベツのカレーソテー","こめ油",6,"",""
"2021/4/27","火","じゃがいものポタージュ","じゃがいも",5,"",""
"2021/4/27","火","じゃがいものポタージュ","たまねぎ",4,"",""
"2021/4/27","火","じゃがいものポタージュ","マッシュルーム",4,"",""
"2021/4/27","火","じゃがいものポタージュ","にんじん",3,"",""
"2021/4/27","火","じゃがいものポタージュ","じゃがいもペースト",5,"",""
"2021/4/27","火","じゃがいものポタージュ","パセリ",3,"",""
"2021/4/27","火","じゃがいものポタージュ","バター",6,"",""
"2021/4/27","火","じゃがいものポタージュ","脱脂粉乳",2,"",""
"2021/4/27","火","じゃがいものポタージュ","ポタージュの素",,"",""
"2021/4/27","火","じゃがいものポタージュ","水（ミキサー用）",,"",""
"2021/4/27","火","じゃがいものポタージュ","牛乳",2,"",""
"2021/4/27","火","じゃがいものポタージュ","スープストック",,"",""
"2021/4/27","火","じゃがいものポタージュ","コンソメスープ",,"",""
"2021/4/27","火","じゃがいものポタージュ","塩",,"",""
"2021/4/27","火","じゃがいものポタージュ","こしょう",,"",""
"2021/4/27","火","じゃがいものポタージュ","水",,"",""
"2021/4/28","水","ごはん","ごはん",5,"756","28.5"
"2021/4/28","水","牛乳","牛乳",2,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","ミニちくわ",1,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","天ぷら粉",5,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","水",,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","こめ油",6,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","粉茶",,"",""
"2021/4/28","水","ちくわの天ぷらお茶塩かけ","塩",,"",""
"2021/4/28","水","大和まなちりめん","大和まな漬",3,"",""
"2021/4/28","水","大和まなちりめん","ちりめんじゃこ",2,"",""
"2021/4/28","水","大和まなちりめん","白いりごま",6,"",""
"2021/4/28","水","大和まなちりめん","こめ油",6,"",""
"2021/4/28","水","大和まなちりめん","三温糖",5,"",""
"2021/4/28","水","大和まなちりめん","こいくちしょうゆ",,"",""
"2021/4/28","水","大和まなちりめん","みりん",,"",""
"2021/4/28","水","大和まなちりめん","清酒",,"",""
"2021/4/28","水","にゅうめん","ふしそうめん",5,"",""
"2021/4/28","水","にゅうめん","うすあげ",1,"",""
"2021/4/28","水","にゅうめん","たまねぎ",4,"",""
"2021/4/28","水","にゅうめん","しめじ",4,"",""
"2021/4/28","水","にゅうめん","ねぎ",3,"",""
"2021/4/28","水","にゅうめん","だしの素",,"",""
"2021/4/28","水","にゅうめん","うすくちしょうゆ",,"",""
"2021/4/28","水","にゅうめん","水",,"",""
"2021/4/30","金","ごはん","ごはん",5,"790","29.8"
"2021/4/30","金","牛乳","牛乳",2,"",""
"2021/4/30","金","さわらのゆずみそかけ","さわら(素焼き)",1,"",""
"2021/4/30","金","さわらのゆずみそかけ","清酒",,"",""
"2021/4/30","金","さわらのゆずみそかけ","みそ",1,"",""
"2021/4/30","金","さわらのゆずみそかけ","赤みそ",1,"",""
"2021/4/30","金","さわらのゆずみそかけ","三温糖",5,"",""
"2021/4/30","金","さわらのゆずみそかけ","みりん",,"",""
"2021/4/30","金","さわらのゆずみそかけ","ゆず果汁",4,"",""
"2021/4/30","金","さわらのゆずみそかけ","でん粉",5,"",""
"2021/4/30","金","さわらのゆずみそかけ","水",,"",""
"2021/4/30","金","小松菜の塩昆布和え","小松菜",3,"",""
"2021/4/30","金","小松菜の塩昆布和え","にんじん",3,"",""
"2021/4/30","金","小松菜の塩昆布和え","切り干し大根",4,"",""
"2021/4/30","金","小松菜の塩昆布和え","塩昆布",2,"",""
"2021/4/30","金","小松菜の塩昆布和え","だししょうゆ",,"",""
"2021/4/30","金","若竹汁","たけのこ",4,"",""
"2021/4/30","金","若竹汁","わかめ",2,"",""
"2021/4/30","金","若竹汁","とうふ",1,"",""
"2021/4/30","金","若竹汁","ちらしかまぼこ・かぶと",1,"",""
"2021/4/30","金","若竹汁","えのきたけ",4,"",""
"2021/4/30","金","若竹汁","みつば",3,"",""
"2021/4/30","金","若竹汁","だしの素",,"",""
"2021/4/30","金","若竹汁","うすくちしょうゆ",,"",""
"2021/4/30","金","若竹汁","みりん",,"",""
"2021/4/30","金","若竹汁","水",,"",""
"2021/4/30","金","かしわもち","かしわもち",5,"",""
